Token,Date,SSS,Velocity,Sentiment,AnchorPressure,Volume24h,MarketCap,Price,BtcCorrelation
SUI,2025-01-14,85,1.2,4.2,0.65,150000000,5000000000,1.85,0.45
PEPE,2025-01-14,91,0.7,2.1,0.45,89000000,2500000000,0.000012,0.65
SOL,2025-01-14,78,0.9,3.8,0.55,500000000,78000000000,168.50,0.75
ETH,2025-01-14,72,0.8,3.5,0.60,1200000000,450000000000,3650.00,0.85
BTC,2025-01-14,68,0.6,3.2,0.70,2000000000,2200000000000,114000.00,1.00
ADA,2025-01-14,65,0.5,2.8,0.40,180000000,25000000000,0.75,0.70
XRP,2025-01-14,70,0.7,3.0,0.50,800000000,175000000000,3.05,0.55
LINK,2025-01-14,75,0.85,3.6,0.58,250000000,14000000000,16.80,0.68
DOT,2025-01-14,62,0.45,2.9,0.35,120000000,9500000000,3.68,0.72
MATIC,2025-01-14,58,0.38,2.2,0.32,95000000,8200000000,0.21,0.78
AVAX,2025-01-14,73,0.92,3.4,0.52,180000000,18500000000,22.75,0.69
ATOM,2025-01-14,66,0.55,3.1,0.48,85000000,11200000000,4.26,0.64
NEAR,2025-01-14,69,0.68,3.3,0.44,110000000,7800000000,2.50,0.58
FTM,2025-01-14,71,0.78,3.2,0.49,95000000,6200000000,0.82,0.66
ALGO,2025-01-14,64,0.42,2.7,0.38,45000000,4800000000,0.24,0.61
VET,2025-01-14,67,0.58,2.9,0.41,78000000,5500000000,0.034,0.63
THETA,2025-01-14,63,0.48,2.6,0.36,62000000,3900000000,0.77,0.59
MANA,2025-01-14,61,0.52,2.8,0.39,55000000,2800000000,0.28,0.71
SAND,2025-01-14,59,0.46,2.5,0.37,48000000,2200000000,0.27,0.69
CRV,2025-01-14,74,0.82,3.7,0.56,125000000,3500000000,0.89,0.73
UNI,2025-01-14,76,0.88,3.9,0.59,220000000,8900000000,9.78,0.76
AAVE,2025-01-14,77,0.91,4.0,0.62,185000000,4100000000,261.72,0.74
COMP,2025-01-14,72,0.76,3.4,0.53,95000000,2700000000,46.76,0.71
MKR,2025-01-14,70,0.73,3.3,0.51,78000000,2400000000,1456.80,0.68
SNX,2025-01-14,68,0.69,3.1,0.47,65000000,1900000000,2.12,0.72
SUSHI,2025-01-14,69,0.71,3.2,0.48,58000000,1600000000,0.78,0.75
1INCH,2025-01-14,66,0.64,2.9,0.44,42000000,1200000000,0.27,0.67
BAT,2025-01-14,60,0.51,2.4,0.35,38000000,850000000,0.18,0.65
ENJ,2025-01-14,62,0.54,2.6,0.38,45000000,1100000000,0.21,0.68
ZRX,2025-01-14,58,0.47,2.3,0.33,32000000,750000000,0.31,0.64
